FILENAME	SHELFMARK	EXTENT	lang/script	LEAF SIZE	WRITTEN SIZE	subject - 1	subject - 2	MATERIAL	MEDIUM	SCRIPT	HANDS	DECORATION	CONDITION	WRITTEN LINES	LAYOUT	FOLIATION	ADDITIONS	PROVENANCE & ACQUISITION	SUMMARY	WORK NUMBER	ROMANIZED AUTHOR NAME(S)	TIBETAN SCRIPT AUTHOR NAME(S)	ROMANIZED TITLE(S)	TIBETAN SCRIPT TITLE(S)	ROMANIZED MARGIN TITLE(S)	TIBETAN SCRIPT MARGIN TITLE(S)	INCIPIT	EXPLICIT	COLOPHON	NOTES	BIBLOGRAPHIC REFERENCE(S)
UkOxU_050_Manuscript_Tib_b__24_17.xml	MS. Tibet. b. 24.17 (R)	9 ff	bo-Latn-x-EWTS	355 x 70	320 x 50	Gtor-ma (Buddhist liturgical object)		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	Liturgy for the gtor ma offering to Dam chen	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	dam can spyi'i gtor ma'i cho ga nyung ngur bsdus pa	དམ་ཅན་སྤྱིའི་གཏོར་མའི་ཆོ་ག་ཉུང་ངུར་བསྡུས་པ			dam can spyi'i gtor ma'i cho ga nyung ngur bsdus pa ni/_om sid+d+hi ras+tu bla ma mchog dang dbyer med yi dam lha//_dam can rgya mtsho'i tshogs la phyag 'tshal nas//_de mnyes byed pa'i gtor ma'i las rim dag//_dang po'i las can don du nyung ngur bris//	dam can spyi'i gtor ma'i cho ga nyung ngur bsdus pa 'di ni rgyun gyi nyams len la 'jug pa bde ba'i phyir rig pa 'dzin pa 'gyur med rdo rje s lha ldan gru 'dzin gyi ri bo r sbyar ba'o//			
UkOxU_051_Manuscript_Tib__24_18.xml	MS. Tibet. b. 24.18 (R)	9 ff	bo-Latn-x-EWTS	355 x 70	320 x 45	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The liturgy for empowerment to invoke blessings from wrathful Padmasambhava	1			gter gsar drag po'i byin rlabs kyi mtshams sbyor ngag gis dpal bskyed	གཏེར་གསར་དྲག་པོའི་བྱིན་རླབས་ཀྱི་མཚམས་སྦྱོར་ངག་གིས་དཔལ་བསྐྱེད			byin rlabs dbang gi chu bo'i rgyun//_stsol mdzad bla ma la btud nas//_'chad pa'i khrir 'dzegs gsar bu la//_smra ba'i dpal 'di ngal bsor byin//_de la yo byed bshams bkod/_slob dpon gyi bya ba sgrub mchod rnams mthong brgyud phyag len bzhin byas la/_slob ma rjes 'dzin bya ste/_slob ma rnams kyi phyag byas gral la 'khod pa la/	ces sogs dge ba dngos na/_slar yang mchod pa kha bso/_gtang rag gi mchod bstod gshegs gsol sogs rjes chog rnams gzhung bzhin bya'o//_bla ma drag po'i bying rlabs kyi//_dngos grub bdud rtsi dga' ston 'dis//_skal ldan snying gi bum pa bzang //_'gengs pa'i dpyid du spros pa'o//_bkra shis// gcig zhus//			
UkOxU_036_Manuscript__Tib__b__24_3_(R).xml	MS. Tibet. b. 24.2 (R)	7 ff	bo-Latn-x-EWTS	360 x 70	320 x 45	Sādhana		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The manual for the empowerment of Wrathful Padmasambhava	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma hA gu ru drag por bsgrub pa'i dbang chog	མ་ཧཱ་གུ་རུ་དྲག་པོར་བསྒྲུབ་པའི་དབང་ཆོག	dbang chog	དབང་ཆོག	thams cad zil gnon pad+ma he ru ka la phyag 'tshal lo : gang zhig byang chub go 'phang la : sngags kyi rim pas dkri 'dod pas : de la dbang bskur bya ba ste : dbang ma thob par 'jug mi bya : snying rje che zhing dam tshig dag : dbang thob blo gros mchog dang ldan :	de ltar rnam gsum dbang mchog 'dis : thun mong thun mong min dang khyad par gyi : slob ma rnams la rim bzhin rjes 'dzin bya :			TBRC: W15?
UkOxU_052_Manuscript_Tib_24_19.xml	MS. Tibet. b. 24.20 (R)	7 ff	bo-Latn-x-EWTS	315 x 60	280 x 45	Gter ma		chart	black	dbu med			good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	Liturgy for empowerment	1			dbang gi mtshams sbyor	དབང་གི་མཚམས་སྦྱོར			bying rlabs dbang gi chu bo'i rgyun//_stsol mdzad bla ma la btud nas//_'chad pa'i 'khrir 'dzegs gsar bu la//_smra ba'i dpal 'di ngal bsor byin//_de la yo byad bshams bkod/_slob dpon gyi bya ba bsgrub rnams mthong rgyud phyag len bzhin bya la/_slob ma rjes 'dzin bya ste/_slob ma rnams kyi phyag byas gral la 'khod la/_ji ltar bltams pa sogs kyis khrus byas nas /	de ltar thob pa'i dge ba sems can gyi don du bsngo ba mdzod/_bsod nams 'di yi thams cad gzigs pa nyid//_ces dge ba dngos nas/_slar mchod pa kha bso/ gtang rag gi mchod bstod gshegs gsol sogs rjes chog rnams gzhung bzhin bya'o//_bla ma drags po'i byin rlabs kyi/_dngos grub bdud rtsi dga' ston 'dis//_skal ldan snying gi bum pa bzang //_'geng pa'i dpyid du spro'o//_bkra shis//_1 zhus//			
UkOxU_053_Manuscript_Tib__24__20.xml	MS. Tibet. b. 24.21 (R)	8 ff [7 ff?]	bo-Latn-x-EWTS	355 x 70	340 x 60	Hayagrīva		chart	black	dbu can			good	4				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	Liturgy for exorcism	1			bka' bsgo byed tshul	བཀའ་བསྒོ་བྱེད་ཚུལ			rang nyid skad cig gis bcom ldan 'das khro bo'i rgyal po dpal rta mgrin du gyur/_rang gi thugs ga'i hUM las 'od zer 'phros/_rang bzhin gyi gnas nas/_dpal rta mgrin gyi lha tshogs mdun gyi nam mkhar spyan drangs/_sgo gsum gus pas phyag 'tshal lo/	mdor na sems can thams cad bde skyid phun sum tshogs pa'i ngos nas tshogs gnyis bsags sgrib gnyis sbyangs te myur du mngon par rdzogs par 'tshang rgya bar gyur cig/_dge ba 'di yis skye bo kun//_zhes sogs//_mang+ga laM/ /			
UkOxU_054_Manuscript_Tib_24_21.xml	MS. Tibet. b. 24.22 (R)	2 ff	bo-Latn-x-EWTS	360 x 70	310 x 50	Gter ma		chart	black	dbu med			good					S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The liturgy for exorcism through the practice of Gu ru Drag po	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma hA gu ru drag por bsgrub pa'i 'phang ba'i las mtha'	མ་ཧཱ་གུ་རུ་དྲག་པོར་བསྒྲུབ་པའི་འཕང་བའི་ལས་མཐའ			pha rol rbad 'dre rbod gtong dang : chags che nyams nga zug pa na : drag po zor gyi bzlog pa bya : dud 'gro gnas su zhing lpags khar : 'bru nag lha grags tshom bu bkod : dpal gyi gtor ma chen po bsham :	'di yis mi mthun byad snyems dpung : thams cad bzlog par gdon mi za : 'phang ba zor gyi man ngag go : sa ma ya : rgya rgya rgya : rig 'dzin 'gyur med rdo rje s bying mda' o dkar brag nas spyan drangs pa 'o//_gcig zhus//			TBRC: W15
UkOxU_055_Manuscript_Tib_24_22.xml	MS. Tibet. b. 24.23 (R)	2 ff [3 ff?]	bo-Latn-x-EWTS	350 x 70	290 x 40	Bsaṅs offering (Buddhist rite)		chart	black	dbu med			good	4				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The wrathful offering of homa	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	rdo rje khro bo'i sbyin sreg ces bya ba	རྡོ་རྗེ་ཁྲོ་བོའི་སྦྱིན་སྲེག་ཅེས་བྱ་བ			sva sti/_'dir rdo rje mkha' 'gro'i sbyin sreg gi cho ga sgrub par 'dod pas/_mdun du spos phor sogs su me chu til dang bcas pa bshams la/_bdag gi tshe 'khor ba thog ma med pa nas bsags pa'i sdig sgrib thams cad yi ge sam nag po'i rnam par gnas pa lte ba'i gtum mo ye shes kyi mes ded/	tshul 'di ni rdo rje mkha' 'gro las/_sam gyur sdig pa mi zad pa sna yi sgo nas phyungs nas ni/_me dang chu la blug par bya/_zhes gsungs pa bzhin no//_ces pa'ang 'gyur med rdo rje s spel ba'o//_1 zhus dag//			
UkOxU_056_Manuscript_Tib_24_23.xml	MS. Tibet. b. 24.24 (R)	4 ff	bo-Latn-x-EWTS	360 x 70	290 x 45	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The historical accounts of the Gu ru Drag po practice	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	ma hA gu ru drag por sgrub pa'i lo brgyus bsad pa'i man ngag	མ་ཧཱ་གུ་རུ་དྲག་པོར་སྒྲུབ་པའི་ལོ་བརྒྱུས་བསད་པའི་མན་ངག			bsnyen sgrub sbyor ba mthar phyin zhing : dpa' rtul blo gros mchog ldan pa'i : sngags pas sna tshogs las kyi rim : sgrub par 'dod nas 'di ltar bya : bsrung ba rdo rje'i go gyon par : phyi nang gnyis las dang po ni : gza' skar dus sbyor bzang po la :	sngags mthar bsad pa'i spu gri btags : bzlas pas gdon mi za bar 'grub : sa ma ya : rgya rgya rgya : rig 'dzin 'gyur med rdo rje s ma shod bying mda' o dkar brag nas spyan drangs pa'o//_gcig zhus//			TBRC: W15
UkOxU_057_Manuscript_Tib_24_24.xml	MS. Tibet. b. 24.25 (R)	5 ff	bo-Latn-x-EWTS	410 x 65	360 x 50	Gter ma		chart	black	dbu med			good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The manual for the recitation of mantras of Avalokiteśvara	1	pad+ma 'phrin las	པདྨ་འཕྲིན་ལས	thugs rje chen po 'jig rten dbang phyug gi bsnyen yig 'dod dgu'i char 'bebs	ཐུགས་རྗེ་ཆེན་པོ་འཇིག་རྟེན་དབང་ཕྱུག་གི་བསྙེན་ཡིག་འདོད་དགུའི་ཆར་འབེབས			na maH gu ru lo ke shva ra ye/_'phags mchog 'jig rten dbang phyug pad kar 'dzin// zhing 'dir ngur smrig 'dzin pa'i rnam rol gyis//_bdag sogs gdul byar smin grol mchog stsol ba'i//_kun mkhyen bla ma'i zhabs pad spyi bos mchod//	de ltar bsnyen yig 'dod dgu'i char 'bebs 'di//_dge slong dbang phyug rgya mtsho s bskul ba ltar//_bla ma thams cad mkhyen des rjes gzung ba'i//_dge slong bya bral pad 'phrin 'bod des sbyar//_'di dges 'gro ba'i nyon mongs tsha gdung kun//_rab bcil phan dang bde ba'i gru char gyis//_sku bzhi'i sa bon dar drag rab smin te//_lus can gnas skabs thar thug dge gyur cig//_gcig zhus//		This is a supplement to the Avalokiteśvara practice, sNying gi rgya can, from the collection of the fifth Dalai Lama's secret visionary teachings of gSang ba rgya can.	
UkOxU_058_Manuscripts_Tib_b_24_25_(R).xml	MS. Tibet. b. 24.26 (R)	28 ff	bo-Latn-x-EWTS	435 x 65	380 x 40	Rnying-ma-pa (Sect)	Avalokiteśvara (Buddhist deity)	chart	black	dbu med	red margin lines.		good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The practice of Vajrapani in Garuda form	1	pad+ma dkar po	པདྨ་དཀར་པོ	dpal rdo rje gtum po khyung sham can gyi cho ga dregs pa las 'khol zhes bya ba	དཔལ་རྡོ་རྗེ་གཏུམ་པོ་ཁྱུང་ཤམ་ཅན་གྱི་ཆོ་ག་དྲེགས་པ་ལས་འཁོལ་ཞེས་བྱ་བ	khyung sham	ཁྱུང་ཤམ	gnam sngon bskal pa'i me bso bcing 'dra 'jigs su ngar ba kun tshogs pa//_lha chen spyi bor rtag tu rol bar sa gsum bgegs la cher ldang ba//_rgyal ba kun gyi gsang ba'i bdag po phyag na mthu stobs rdo rje dang /_rje btsun bla ma khyed la 'dud do bdag snying nus pas gang bar mdzod//	skye mched dang /_ting 'dzin gyi/_nus pa mi shigs lhar byas la/_zhes pas ye shes sems dpa'/_yi ge lnga 'dus/_yi ge zhes pa ting nge 'dzin gyi sems dpa' bskyed pa bstan no//_go cha'i lha khyung gi byed pa ni bshad rgyud gser mig 'khyil par bshad do/_dpa' bo klu rnams 'dul don du//_phyi nang skye mched thams cad kyang /_khyung gi khro 'dus dbang chen 'dul/ /_zhes sogs kyis so//_sar+ba mang+ga laM//_1 zhus nan tan song / /			TBRC: W10631
UkOxU_037_Manuscript__Tib__b__24_4_(R).xml	MS. Tibet. b. 24.3 (R)	2 ff	bo-Latn-x-EWTS	360 x 70	320 x 45	Sādhana		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The supplication liturgy for visualization	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	dmigs rims sol 'debs	དམིགས་རིམས་སོལ་འདེབས			khyab bdag gdod ma'i mgon po 'od mi 'gyur//_brtse chen thugs rje'i dbang phyug spyan ras gzigs//_rgyal kun ngo bo pad+ma 'byung gnas la//_gsol ba 'debs so dngos grub rnam gnyis stsol/ /	ces lam 'di la rnal 'byor du mdzad pa dge slong shes rab bzang po s bskul ba las snyoms las pa 'gyur med rdo rje s bris pa'o//_mang+ga laM//			
UkOxU_038_Manuscript__Tib__b__24_5_(R).xml	MS. Tibet. b. 24.4 (R)	2 ff	bo-Latn-x-EWTS	360 x 70	320 x 45	Gter ma		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The liturgy for praying to four cardinal kings	1	'gyur med rgya mtsho	འགྱུར་མེད་རྒྱ་མཚོ	rgyal chen thugs sdoms bces bya ba	རྒྱལ་ཆེན་ཐུགས་སྡོམས་བཅེས་བྱ་བ			raM yaM khaM/ rnam dag chos dbyings ngang nyid las : rang byung mchod pa'i phung po ni : kun bzang mchod pa'i sprin lta bus : dpag yas rnam mkha'i khams gang gyur :	zhes pa'i tshab tu/_bcol ba'i 'phris grub par mdzod//_zhes sbyar nas badz+ra muHs gshegs su gsol ba tsam gyi khyad par do//_ces pa pad+ma 'gyur med rgya mtsho s bgyis pa'o//_shu baM mastu sar+ba dza ga taM//_b+ha dra/_gcig zhus//			
UkOxU_039_Manuscript__Tib__b__24_6_(R).xml	MS. Tibet. b. 24.5 (R)	3 ff	bo-Latn-x-EWTS	360 x 70	320 x 45	Gter ma	Blo-sbyong	chart	black	dbu can			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The liturgy for praying to four cardinal kings	1	'gyur med rgya mtsho	འགྱུར་མེད་རྒྱ་མཚོ	yang bzlog rdo rje pha lam gyi rgyun khyer	ཡང་བཟློག་རྡོ་རྗེ་ཕ་ལམ་གྱི་རྒྱུན་ཁྱེར			yang bzlog rdo rje pha lam gyi rgyun khyer phas rgol phyir bzlog/_na mo/_bla ma mchog gsum 'jam dpal ldan lhar//_gus pas skyabs mchi mkha' mnyam 'gro// bla med byang chub lam 'god phyir//_'jam dpal khrag 'thung sgrub par bgyi//	dge ba 'di yis myur du bdag//_gshin rje gshed po 'grub gyur nas//_'gro ba gcig kyang ma lus pa//_de yi sa la 'khod par shog//_gu ru chos kyi dbang phyug dang rat+na'i gter byon yang bzlog gi snying po'i bcud bsdus man ngag gi//_ngag 'don bsdus te nyung nur spel//_gcig zhus/ /			
UkOxU_045_Manuscript_Tib__b__24_12.xml	MS. Tibet. b. 24.6 (R)	2 ff	bo-Latn-x-EWTS	355 x 70	310 x 50	Consecration--Buddhism.		chart	black	dbu med			good	4				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The supplication to the lineage for the Gu ru drag po ritual	1	'gyur med rdo rje	འགྱུར་མེད་རྡོ་རྗེ	gter gsar gu ru drag po'i brgyud 'debs	གཏེར་གསར་གུ་རུ་དྲག་པོའི་བརྒྱུད་འདེབས			khyab bdag gdod ma'i mgon po 'od mi 'gyur//_brtse chen thugs rje'i dbang phyug spyan ras gzigs//_rgyal kun ngo bo pad+ma 'byung gnas la//_gsol ba 'debs so dngos grub rnam gnyis rtsol//_bde chen ye shes bskyed mdzad mkhar chen bza' //_'jig rten mig gcig lo chen bai ro 'i zhabs//_zab gter sgo 'byed 'gyur med rdo rje la//	don gnyis lhun grub dbang drag dkyil 'khor lha'i//_go 'phang sngon du 'gyur bar byin gyis brlobs//_ces lam 'di la rnal 'byor du mdzad pa dge slong shes rab bzang po s bskul ba las snyoms las pa 'gyur med rdo rje s bris pa'o//_mang+ga laM//			
UkOxU_040_Manuscripts__Tib__b__24_7_(R).xml	MS. Tibet. b. 24.7 (R)	8 ff	bo-Latn-x-EWTS	360 x 80	330 x 60	Gter ma		chart	black	dbu can			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	The Practice of Mind Training	1	blo bzang chos kyi rgyal mtshan	བློ་བཟང་ཆོས་ཀྱི་རྒྱལ་མཚན	blo sbyongs kyi nyams len bzhugs so	བློ་སྦྱོངས་ཀྱི་ཉམས་ལེན་བཞུགས་སོ			na mo gu ru ma&+dzu g+ho ShA ya/_'dir bka' gdams kyi dge ba'i bshes gnyen dam pa rnams kyi thugs kyi mthil/_rgyal ba'i gsung rab thams cad snying po gcig tu bsdus pa/_theg pa chen po'i blo sbyongs zhes mtshan yongs su grags pa'i dmar khrid nyams su lens par 'dod pas/	tshul 'di yang mdo bsngags kyi bstan pa yongs du rdzogs pa'i dge ba'i bshes gnyen gdam sa chen po dpal snar thang gi mkhan chen shar rtse chos rje grags pa dpal 'byor ba snga phyir nan gyi bskul ba la brten nas/_chos smra ba'i dge slong blo bzang chos kyi rgyal mtshan gyi sa ga zla ba'i dkar tshes bco lnga'i nyin/_ bkra shis lhun po 'i gzim chung yid dga' chos 'dzin du yongs su rdzogs par sug bris su byas pa las/_dang por 'dri ba'i yi ge pa ni rnams dpyod phun gsum tshogs pa rjes drungs blo bzang dbang rgyal lo//_dge'o//		This is a concise instruction on mind training written in verse by Paṇ chen Blo bzang Chos kyi rGyal mtshan.	TBRC: W9814?
UkOxU_041_Manuscripts__Tib__b__24_8_(R).xml	MS. Tibet. b. 24.8 (R)	6 ff	bo-Latn-x-EWTS	325 x 70	300 x 50	Gter ma		chart	black	dbu med			good	6				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	A manual for the ritual of gZa' deity from the rDor sems snying thig cycle of rDo rje Gling pa	1	rdo rje gling pa	རྡོ་རྗེ་གླིང་པ	rdo rje sems pa'i snying thig bka' bsrungs dug gi spu gri rgyugs sdam nam mkha' chos kyis glo gros nyams len yin :	རྡོ་རྗེ་སེམས་པའི་སྙིང་ཐིག་བཀའ་བསྲུངས་དུག་གི་སྤུ་གྲི་རྒྱུགས་སྡམ་ནམ་མཁའ་ཆོས་ཀྱིས་གློ་གྲོས་ཉམས་ལེན་ཡིན་༔			bdag 'dra pad+ma 'byung gnas kyis : rdo rje sems dpa' snying thig gyis : bka' bsrungs gza'i gsad bsgrubs bshad : 'di la bsnyan bsgrubs las sbyor gsum : dang po snyan pa bya ba ni : tshes grang brgyad la dus bzang la : gza' gshos cig la brgyad kyis bskor :	gtor ma dgra'i sha khrag du bas sam : tsa ka li dang gzugs snang thams cad gza'i dmag dang dpungs bsam la 'bul : mchod pa'i rim pa ni sha khrag 'bru chang chang 'phur phran spos dkar gsum sogs sa gsham mo : rgyal sras rdo rje gling pa 'i gter ma'o : shin tu zab/_kha thaM : snying dang 'dra ba ma rtogs su thos thos la mi gter : sbyin na sdig che ba : gsang rgya : zhus dag dge : brda thim gong tshig thim sar+ba mang+ga lam : bkra shis :		A liturgy for the four stage ritual to invoke the gZa' deity. This ritual belongs to the rDo rje sems dpa' snying thig of gTer ston rDo rje Gling pa.	
UkOxU_042_Manuscripts__Tib__24_9_(R).xml	MS. Tibet. b. 24.9 (R)	3 ff	bo-Latn-x-EWTS	350 x 70	330 x 50	Bsaṅs offering (Buddhist rite)		chart	black	dbu med			good	5				S.C. 33641, 33735. 25 Sept. 1905, donation by the Government of India.	A liturgy for making the bsur offering of smell	1			sur rngod	སུར་རྔོད			na mo ma&+dzu g+ho ShA ya/_sangs rgyas chos dang tshogs kyi mchog rnams la//_byang chub bar du bdag ni skyabs su mchi//_bdag gis sbyin sogs dgyis pa 'di dag dis//_'gro la phan phyir sangs rgyas 'grub par shog//_rang nyid spyan ras gzigs su gsal ba yin thugs ka'i 'od kyi sri zhu yon tan dang / snying rje lan chags mgron rnams ma lus pa/_spyan drangs 'dod pa'i gdan la zhug par gyur//	bdag kyang 'chi ba'i dus kyi tshe//_gnad spyod sdug bsngal dang bral te//_dag pa'i zhing du skyes nas kyang //_'gro kun phan bde rdzogs par shog//_gsur chos rdzogs so//_zhu bdag/_mang+ga laM//		This liturgy for offering sur is probably by Mi pham.	
UkOxU_068_Manuscript__Tib__b__25_(R).xml	MS. Tibet. b. 25 (R)	153 ff	bo-Latn-x-EWTS	430 x 110	380 x 65	Ma ṇi bkaʾ ʾbum	Srong-btsan-sgam-po, King of Tibet, 617-647.	chart	black,red_	dbu can			good	5		The book has the volume marker ka		S.C. 33642, 33736. 25 Sept. 1905, donation by the Government of India.	The benefits of the biography of Avalokiteshavara	1			thugs rje chen po'i rnam thar phan yon gsal byed sgron ma	ཐུགས་རྗེ་ཆེན་པོའི་རྣམ་ཐར་ཕན་ཡོན་གསལ་བྱེད་སྒྲོན་མ			oM ma Ni pad+me huM/_sang g+ha ke ru na mo huM//_ma g.yos ma bcos ka dag chos kyi sku //_ma bsam ma 'gag lhun 'grub longs spyod rdzogs//_thugs rje ma 'gag gzhan don sprul skur byon//_mtshungs med drin can chos kyi rje la 'dud //_rang don mchog gyur sku gsum mngon du gyur//_gzhan don 'gag med 'phrin las thog pa med//_don gnyis lhun grub mi nub rgyal mtshan 'dzin //_bstan pa'i mnga' bdag chos kyi rje la 'dud//	chos 'di ni de tshe gang na yang spel ma sbyong ba'i chos yin gsung nas/_nam mkha' la 'ja' yal ba bzhin du gshegs so//_bdag ni chad zin/_gnyis sad pa bzhin tham me thom me gcig/_rid sin sku bzhugs pa'i dus su/_smon lam btab kyang ma dran/_gsung ba'i chos rnams brjed dog yid la bzung /_yid ...//			
UkOxU_069_Manuscript__Tib__b__26_(R).xml	MS. Tibet. b. 26 (R)	309 ff	bo-Latn-x-EWTS	415 x 120	360 x 75	Spiritual life.	Buddhist poetry, Tibetan.	chart	black,red_	dbu can			good	5		The book has the volume marker ka		S.C. 33643, 33737. 25 Sept. 1905, donation by the Government of India.	The writings of Kun spangs Chos kyi Rin chen	1	dpal ldan rin chen		[kun spangs chos kyi rin chen gyi rnam thar]	kun spangs chos kyi rin chen gyi rnam thar			oM sva sti si d+haM/_sku gsum dbyer med ngo bo nyid kyi sku//_zab rgyas dbyer med theg gsum ston pa'i gsungs//_mkhyen brtse'i dbyer med ye shes rnam lnga'i thugs//_ rat+na a dkar rdo rje 'chang la 'dud//_tshogs gnyis rab rdzogs yon tan bsam mi khyab//_sku bzhi'i bdag nyid srid bzhi'i dpal 'byor can//_mtha' yas gdul bya'i dpal dang mgon gyur pa'i//_ dz+&A na rat+na chos kyi rje la 'dud//	khyod kyi yon tan brgya mtsho lta bu de//_bdag 'dra'i blo yis ci zhig brjod par spobs//_brgya mtsho'i nang nas chu thigs rtsam zhig blangs//_nyes pa mchis na mkhas rnams bzod par gsol//_ chos rje 'i zhabs rdul spyi bos legs mchod pa'i//_bslob ma'i mtha' shal dpal ldan gyis//_sbyar ba'i bskul byed bzang po rgyal mtshan dpal //_dge bas rtag tu bla ma gnyes gyur cig//_rnam par thar pa bsdus pa 'di nyid//_ chos rje de nyid la mi phyed pa'i dad pa thob cing //_zhabs kyi rdul spyi bos blangs pa//_sprang po bya bral ba dpal ldan rin chen gyis//_dben pa'i gnas/_ri bo'i khrod/_ srin lag gces bya bar/_cho 'phrul chen po'i rta zla ba'i yar tshes brgyad kyi nyin sbyar ba'o////_shu b+haM/_dge'o//_bkra shis//_bsam don dge legs 'phel bar gyur cig //		This volume contains numerous writings of Kun spangs Chos kyi Rin chen, a bKa' brgyud pa master and disciple of Ye shes Rin chen rDo rje, Byang chub Seng ge, lHa dbang Blo gros and dKa' bcu pa gZhon nu Seng ge. There are many cases where a folio has two page numbers or the folio numbers are repeated. This suggests that the text was copied from an earlier exemplar.	
UkOxU_070_Manuscript__Tib__b_27_(R).xml	MS. Tibet. b. 27 (R)	98 ff	bo-Latn-x-EWTS	420 x 100	380 x 75	Intermediate state--Buddhism		chart	black	dbu can	red margin lines	There are numerous drawings of vase, flower, eternal knots and the like on the sides of many folios	good	5				S.C. 33644, 33738. 25 Sept. 1905, donation by the Government of India.	A short liturgy for making Tshogs offering	1			tshogs mchod bsdus pa	ཚོགས་མཆོད་བསྡུས་པ			huM : rdo rje lta bu'i ting 'dzin nyid//_bzang ngan blang dor thabs las 'das//_kun las ro gcig gnyug ma'i ngang //_dmigs med 'tshogs kyis 'khor lo bskor// oM d+ha mahA d+ha rtu guhya dz+&a na pa&+tsa ka huM : bdag nyid lha yi thugs ka nas/_raM yaM khaM 'phros me rlung chus//_dug gsum bag chags sngon 'dzin sbyang /_gtsang btsog med pa ka nas dag//	bka' yis las byed bran dang pho nya'i tshogs//_'dod yon tshogs kyis lhag ma 'di bzhes lags//_.. 'gegs thul sngags kyi stan pa srungs//_rnal 'byor bcol ba'i 'phrin las 'grub par mdzod//... zhal gro/_dge'o/_sar+ba mang+ga laM//			

